"항목번호","항목명","결과","상세내용","진단명령어"
"4.1","SQL*PLUS 명령 히스토리 검사","양호","양호: PowerShell 히스토리 파일의 접근 권한이 소유자 위주로 적절하게 설정되어 있습니다.","host icacls ""C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadline\ConsoleHost_history.txt"""
"4.2","Initialization 파일 접근 권한 설정","양호","양호: 초기화 파일의 접근 권한이 적절하게 설정되어 있습니다.","host icacls ""C:\app\Administrator\product\21c\dbhomeXE\database\init*.ora""
host icacls ""C:\app\Administrator\product\21c\dbhomeXE\database\spfile*.ora"""
"4.3","Oracle Password 파일 접근 권한 설정","양호","양호: Oracle 패스워드 파일의 접근 권한이 적절하게 설정되어 있습니다.","host icacls ""C:\app\Administrator\product\21c\dbhomeXE\database\PWD*.ora"""
"4.4","Alert Log 파일 접근 제한 (자동 진단)","양호","양호: 불필요 그룹 권한이 확인되지 않았습니다. (Administrators/SYSTEM/Owner/Oracle 서비스 계정만 존재)","icacls ""C:\app\Administrator\product\21c\diag\rdbms\xe\xe\trace""
...
...  icacls ""C:\app\Administrator\product\21c\diag\rdbms\xe\xe\trace\alert_xe.log"""
"4.5","Trace Log 파일 접근 제한 (자동 진단)","양호","양호: 불필요 그룹 권한이 확인되지 않았습니다. (Administrators/SYSTEM/Owner/Oracle 서비스 계정만 존재)","icacls ""C:\app\Administrator\product\21c\diag\rdbms\xe\xe\trace""
...
...  icacls ""C:\app\Administrator\product\21c\diag\rdbms\xe\xe\trace\*.trc"""
"4.6","컨트롤, Redo, 데이터 파일 접근 제한 (자동 진단)","양호","양호: 불필요 그룹 권한이 확인되지 않았습니다.","icacls <각 파일 경로>
...
..."
"4.7","$TNS_ADMIN 파일 접근 제한 (자동 진단)","양호","양호: 불필요 그룹 권한이 확인되지 않았습니다.",""
"4.8","감사 로그 파일 접근 제한 (자동 진단)","양호","양호: 불필요 그룹 권한이 확인되지 않았습니다.","icacls ""C:\app\Administrator\product\21c\admin\XE\adump""
...
...  icacls ""C:\app\Administrator\product\21c\admin\XE\adump\*.*"""
"5.1","보안 패치 적용 현황 (OPatch lsinventory)","취약","취약 - 적용된 패치가 확인되지 않음 (Interim 0건).",""
"6.1","SYS 감사 수행 설정 (AUDIT_SYS_OPERATIONS)","양호","양호: SYS 감사 수행이 활성화되어 있습니다.",""
"6.2","Audit Trail 기록 설정 (AUDIT_TRAIL)","양호","양호: 감사가 활성화되어 있습니다.",""
